id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
888886,CA,INDIVIDUAL,9 years,T M Motoin Picture Equipment Rentals,G,MORTGAGE,2021-09-11,2021-05-16,2021-05-16,Current,2021-06-16,1105324,Debt consolidation,G1,60,Verified,86400.0,0.0428,224.34,0.2274,8000,6,12331
889890,CA,INDIVIDUAL,< 1 year,Kabam,A,RENT,2021-09-11,2021-10-14,2021-10-14,Fully Paid,2021-11-14,1106459,Debt consolidation,A2,36,Source Verified,90000.0,0.1364,307.04,0.0662,10000,39,11053
699027,IL,INDIVIDUAL,5 years,Loyola University Medical Center,B,RENT,2021-03-11,2021-03-14,2021-03-14,Fully Paid,2021-04-14,890529,moving,B4,36,Source Verified,53000.0,0.0974,163.08,0.1074,5000,21,5871
1012204,FL,INDIVIDUAL,4 years,Travelers Insurance Co.,C,RENT,2021-11-11,2021-01-14,2021-08-13,Charged Off,2021-09-13,1239111,Debt consolidation,C5,60,Source Verified,45500.0,0.1659,364.46,0.1596,15000,18,9999
736254,AZ,INDIVIDUAL,2 years,On Q Financial,E,RENT,2021-04-11,2021-05-16,2021-09-12,Fully Paid,2021-10-12,933114,credit card,E3,60,Source Verified,49200.0,0.2383,299.14,0.1714,12000,17,14286
746036,NV,INDIVIDUAL,5 years,Nims & Associates,A,MORTGAGE,2021-05-11,2021-03-15,2021-05-14,Fully Paid,2021-06-14,944680,home improvement,A4,36,Not Verified,90000.0,0.1292,466.53,0.0749,15000,27,16795
980996,CA,INDIVIDUAL,5 years,ATEN Technology,C,MORTGAGE,2021-10-11,2021-02-14,2021-09-13,Charged Off,2021-10-13,1204191,home improvement,C2,36,Not Verified,66000.0,0.0211,274.48,0.1427,8000,18,6038
869300,FL,INDIVIDUAL,6 years,Internal Medicine Assoc,C,MORTGAGE,2021-09-11,2021-04-14,2021-12-13,Charged Off,2022-01-13,1083150,house,C2,36,Source Verified,82248.0,0.1568,334.52,0.1427,9750,29,9140
96844,IN,INDIVIDUAL,7 years,Peerless Pump Company,A,MORTGAGE,2021-07-07,2021-07-10,2021-07-10,Fully Paid,2021-08-10,95222,credit card,A5,36,Not Verified,74000.0,0.1437,167.02,0.0838,5300,29,6013
767586,NY,INDIVIDUAL,3 years,,B,RENT,2021-05-11,2021-03-15,2021-06-14,Fully Paid,2021-07-14,968728,small business,B5,36,Source Verified,48000.0,0.0198,222.51,0.1199,6700,7,8010
1024471,TX,INDIVIDUAL,10+ years,Budget Rent A Car,A,MORTGAGE,2021-11-11,2021-11-14,2021-12-14,Fully Paid,2022-01-14,1253595,credit card,A4,36,Source Verified,60000.0,0.2112,219.04,0.079,7000,19,7885
1005129,NY,INDIVIDUAL,10+ years,Town of Hempstead,A,MORTGAGE,2021-10-11,2021-11-14,2021-11-14,Fully Paid,2021-12-14,1231806,other,A4,36,Not Verified,90000.0,0.1628,112.65,0.079,3600,45,4055
715516,PA,INDIVIDUAL,4 years,Bank of New York Mellon,B,RENT,2021-03-11,2021-05-16,2021-11-11,Fully Paid,2021-12-11,909155,credit card,B1,36,Verified,54000.0,0.0684,179.73,0.0963,5600,21,5892
732466,NM,INDIVIDUAL,< 1 year,Bullseye Glass,B,RENT,2021-04-11,2021-09-14,2021-03-14,Fully Paid,2021-04-14,928673,Debt consolidation,B3,36,Source Verified,38832.0,0.1641,324.42,0.1037,10000,14,11670
468724,VA,INDIVIDUAL,1 year,Navy Federal Credit Union,A,RENT,2021-12-09,2021-07-11,2021-02-10,Fully Paid,2021-03-10,590556,Debt consolidation,A4,36,Not Verified,36000.0,0.019,31.62,0.0859,1000,24,1007
525998,CO,INDIVIDUAL,10+ years,united states postal service,E,MORTGAGE,2021-06-10,2021-08-15,2021-01-12,Fully Paid,2021-02-12,680530,Debt consolidation,E4,60,Source Verified,75000.0,0.1302,377.33,0.1756,15000,39,18583
818604,FL,INDIVIDUAL,2 years,SAIC,A,RENT,2021-07-11,2021-07-14,2021-08-14,Fully Paid,2021-09-14,1026567,other,A2,36,Not Verified,75638.0,0.1125,243.34,0.0599,8000,11,8760
474628,MA,INDIVIDUAL,10+ years,Comm of Mass,A,MORTGAGE,2021-01-10,2021-04-16,2021-01-12,Fully Paid,2021-02-12,600398,major purchase,A3,36,Not Verified,29328.0,0.214,312.19,0.0774,10000,14,11087
733195,MN,INDIVIDUAL,< 1 year,University of Minnesota,C,RENT,2021-04-11,2021-05-16,2021-05-13,Charged Off,2021-06-13,929534,Debt consolidation,C1,60,Not Verified,31400.0,0.2098,146.84,0.1268,6500,18,3523
567161,RI,INDIVIDUAL,2 years,Advanced Alarm Systems,C,RENT,2021-08-10,2021-03-16,2021-09-13,Fully Paid,2021-10-13,729615,other,C1,36,Source Verified,54600.0,0.0114,50.71,0.1323,1500,7,1826
672806,CA,INDIVIDUAL,< 1 year,Pacific Ambulance,A,RENT,2021-02-11,2021-04-13,2021-03-13,Fully Paid,2021-04-13,860034,other,A4,36,Source Verified,18000.0,0.1247,310.1,0.0729,10000,9,11043
